,Gender,Age,Debt,MaritalStatus,BankCustomer,EducationLevel,YearsEmployed,Default,Employed,CreditScore,DriversLicense,Citizen,PostalCode,Income,ApprovalStatus
0,Female,30.83,0,u,1,w,1.25,0,t,1288,f,TRUE,202,0,TRUE
1,Male,58.67,4.46,u,1,q,3.04,0,t,949,f,TRUE,43,560,TRUE
2,Male,24.5,0.5,u,1,q,1.5,0,f,878,f,TRUE,280,824,TRUE
3,Female,27.83,1.54,u,1,w,3.75,0,t,1198,t,TRUE,100,3,TRUE
4,Female,20.17,5.625,u,1,w,1.71,0,f,708,f,FALSE,120,0,TRUE
5,Female,32.08,4,u,1,m,2.5,0,f,1173,t,TRUE,360,0,TRUE
6,Female,33.17,1.04,u,1,r,6.5,0,f,1450,t,TRUE,164,31285,TRUE
7,Male,22.92,11.585,u,1,cc,0.04,0,f,1351,f,TRUE,80,1349,TRUE
8,Female,54.42,0.5,y,0,k,3.96,0,f,1615,f,TRUE,180,314,TRUE
9,Female,42.5,4.915,y,0,w,3.165,0,f,1049,t,TRUE,52,1442,TRUE
10,Female,22.08,0.83,u,1,c,2.165,0,f,1703,t,TRUE,128,0,TRUE
11,Female,29.92,1.835,u,1,c,4.335,0,f,1860,f,TRUE,260,200,TRUE
12,Male,38.25,6,u,1,k,1,0,f,777,t,TRUE,0,0,TRUE
13,Female,48.08,6.04,u,1,k,0.04,0,f,1826,f,TRUE,0,2690,TRUE
14,Male,45.83,10.5,u,1,q,5,0,t,1665,t,TRUE,0,0,TRUE
15,Female,36.67,4.415,y,0,k,0.25,0,t,1887,t,TRUE,320,0,TRUE
16,Female,28.25,0.875,u,1,m,0.96,0,t,915,t,TRUE,396,0,TRUE
17,Male,23.25,5.875,u,1,q,3.17,0,t,1498,f,TRUE,120,245,TRUE
18,Female,21.83,0.25,u,1,d,0.665,0,f,1274,t,TRUE,0,0,TRUE
19,Male,19.17,8.585,u,1,cc,0.75,0,t,1384,f,TRUE,96,0,TRUE
20,Female,25,11.25,u,1,c,2.5,0,t,1325,f,TRUE,200,1208,TRUE
21,Female,23.25,1,u,1,c,0.835,0,f,1299,f,FALSE,300,0,TRUE
22,Male,47.75,8,u,1,c,7.875,0,t,1693,t,TRUE,0,1260,TRUE
23,Male,27.42,14.5,u,1,x,3.085,0,t,1117,f,TRUE,120,11,TRUE
24,Male,41.17,6.5,u,1,q,0.5,0,t,1364,t,TRUE,145,0,TRUE
25,Male,15.83,0.585,u,1,c,1.5,0,t,1799,f,TRUE,100,0,TRUE
26,Male,47,13,u,1,i,5.165,0,t,1092,t,TRUE,0,0,TRUE
27,Female,56.58,18.5,u,1,d,15,0,t,1616,t,TRUE,0,0,TRUE
28,Female,57.42,8.5,u,1,e,7,0,t,1007,f,TRUE,0,0,TRUE
29,Female,42.08,1.04,u,1,w,5,0,t,1815,t,TRUE,500,10000,TRUE
30,Female,29.25,14.79,u,1,aa,5.04,0,t,1457,t,TRUE,168,0,TRUE
31,Female,42,9.79,u,1,x,7.96,0,t,766,f,TRUE,0,0,TRUE
32,Female,49.5,7.585,u,1,i,7.585,0,t,1869,t,TRUE,0,5000,TRUE
33,Male,36.75,5.125,u,1,e,5,0,f,1125,t,TRUE,0,4000,TRUE
34,Male,22.58,10.75,u,1,q,0.415,0,t,1628,t,TRUE,0,560,TRUE
35,Female,27.83,1.5,u,1,w,2,0,t,889,t,TRUE,434,35,TRUE
36,Female,27.25,1.585,u,1,cc,1.835,0,t,1654,t,TRUE,583,713,TRUE
37,Male,23,11.75,u,1,x,0.5,0,t,1797,t,TRUE,300,551,TRUE
38,Female,27.75,0.585,y,0,cc,0.25,0,t,1575,f,TRUE,260,500,TRUE
39,Female,54.58,9.415,u,1,ff,14.415,0,t,1103,t,TRUE,30,300,TRUE
40,Female,34.17,9.17,u,1,c,4.5,0,t,1199,t,TRUE,0,221,TRUE
41,Female,28.92,15,u,1,c,5.335,0,t,1188,f,TRUE,0,2283,TRUE
42,Female,29.67,1.415,u,1,w,0.75,0,t,1876,f,TRUE,240,100,TRUE
43,Female,39.58,13.915,u,1,w,8.625,0,t,1473,t,TRUE,70,0,TRUE
44,Female,56.42,28,y,0,c,28.5,0,t,729,f,TRUE,0,15,TRUE
45,Female,54.33,6.75,u,1,c,2.625,0,t,1676,t,TRUE,0,284,TRUE
46,Male,41,2.04,y,0,q,0.125,0,t,1005,t,TRUE,455,1236,TRUE
47,Female,31.92,4.46,u,1,cc,6.04,0,t,1496,f,TRUE,311,300,TRUE
48,Female,41.5,1.54,u,1,i,3.5,0,f,1741,f,TRUE,216,0,TRUE
49,Female,23.92,0.665,u,1,c,0.165,0,f,949,f,TRUE,100,0,TRUE
50,Male,25.75,0.5,u,1,c,0.875,0,f,1564,t,TRUE,491,0,TRUE
51,Female,26,1,u,1,q,1.75,0,f,1537,t,TRUE,280,0,TRUE
52,Female,37.42,2.04,u,1,w,0.04,0,f,1754,t,TRUE,400,5800,TRUE
53,Female,34.92,2.5,u,1,w,0,0,f,1186,t,TRUE,239,200,TRUE
54,Female,34.25,3,u,1,cc,7.415,0,f,810,t,TRUE,0,0,TRUE
